part_id,part_name,rank
31990,Equipment Oar / Paddle End,821
18948,Technic Driving Ring Connector,823
27256,"Wave / Lightning Angular, Single",826
98721,Weapon Batarang,827
53400,"Vehicle Track, Train, Plastic (RC Trains) Curved",833
32198,Technic Gear 20 Tooth Bevel,837
4522,Tool Hammer / Mallet Large,839
24869,Wheel Roller Coaster,841
95199,Weapon Gun / Pistol Two Barrel,843
69755,"Launcher Trigger, Weapon Gun Trigger",844
98137,"Weapon Sword, Big Blade",846
15745,Rock – Heart Jewel with Shaft,850
87408,Technic Pin Connector Toggle Joint Smooth Double with Axle and Pin Holes,857
87080,"Technic Panel Fairing # 1 Small Smooth Short, Side A",858
34173,Equipment Cutlery – Spoon,860
6239,Tail Shuttle,861
18854,Headwear Accessory Glasses with Pin,864
87407,Technic Gear 20 Tooth Bevel with Pin Hole,866
87086,"Technic Panel Fairing # 2 Small Smooth Short, Side B",874
12885,Equipment Paint Roller Brush Handle Edge On Handle,876
24324,Book Binding with Two Studs,885
49577,"Animal / Plant, Coral / Sea Weed",887
2815,Technic Wedge Belt Wheel Tire,893
64951,Barrel Half Large with Axle Hole,894
92851,Bicycle Wheel with Black Tire,896
29111,"Insect, Spider with Elongated Tail Section",898
6124,Equipment Magic Wand,904
32235,"Axle Hose, Soft 19L",905
44224,Technic Rotation Joint Disk with Pin Hole and 3L Beam Thick,912
30093,"Plant, Sea Grass",913
15362,Large Figure Limb Cover / Claw / Spike Large with Axle Hole,915
30361,Brick Round 2 x 2 x 2 Robot Body – without Bottom Axle Holder,916
35186,Technic Driving Ring Extension 8 Tooth,919
25386,Food Hot Dog Bun,921
30395,Hook with Towball,924
64683,"Technic Panel Fairing # 3 Small Smooth Long, Side A",925
14226c11,String with End Studs 11L Overall,926
64391,"Technic Panel Fairing # 4 Small Smooth Long, Side B",929
76537,Technic Shock Absorber 6.5L with Hard Spring [Complete Assembly],933
32125,Technic Plate Rotor 3 Blade with Smooth Ends and 6 Studs (Propeller),935
61800,"Large Figure Wing, Small",939
6148,"Plant, Palm Leaf Small",941
3464,Wheel Centre Small with Stub Axles (Pulley Wheel),942
42876,Food Turkey Drumstick [Short] – 20 mm Opening,945
72869,Bar Holder with Clip and 90┬░ Angle (Mechanical Leg),946
92585,Tool Crowbar,947
87693,Headwear Accessory Plume / Feather Small with Pin,948
93789,Weapon Pike / Spear Flat End,951
53401,"Vehicle Track, Train, Plastic (RC Trains) Straight",953
18034,Weapon Sword with Thick Crossguard (Roman Gladius),955
32529,Technic Pin Connector Plate with One Hole (Single on Bottom),956
33322,Headwear Accessory Crown / Tiara,959
92220,"Large Figure Weapon Claw, with Clip",960
3943,Cone 4 x 4 x 2 with Axle Hole [Plain],962
24314,"Wheel Wheelchair with Fixed Black Hard Rubber Tire, with Clip Hole",966
57520,Technic Tread Sprocket Wheel Small,968
92842,Propeller 3 Blades 5 Diameter,970
44709,Weapon Gun with Studs on Side,972
4489,"Wheel Wagon Large (33mm D.), hole notched for wheels holder pin",973
2854,Technic Engine Crankshaft Center,974
15445,Weapon Gun Automatic Pistol with Top Clip,975
42446,Minifig Neckwear Bracket [One Stud],978
28588,"Animal, Snake Head with Open Mouth, Fangs and Curved Neck with Bar",980
90202,Technic Pin Connector Round with 4 Clips,981
23986,Equipment Teapot,984
87585,Equipment Oar / Paddle [Reinforced],985
35485,Weapon Chakram / Hoop Blade,986
44225,Technic Rotation Joint Disk with Pin and 3L Beam Thick,987
15460,"Technic Steering Gear with 3 Ball Joints, Compact",989
3836,Equipment Brush / Pushbroom,990
74261,"Large Figure Skeletal, Joint Extender [High Friction]",994
33121,"Animal, Crab",995
29109,Weapon Sword / Machete,996
13608,Weapon Gun Ray / Sci Fi – Rounded Heat Diffusers,998
