part_id,name,category,stud_x,stud_y,height_units,active
64225,Wedge Curved 4 x 3 No Studs [Plain],Bricks Wedged,4,3,1,true
60616,Door 1 x 4 x 6 Smooth [Undetermined Stud Handle],Windows and Doors,1,4,6,true
68013,"Brick Round, Half 1 x 2",Bricks Round and Cones,1,2,1,true
50951,Tyre 14 x 6 Solid Smooth,Wheels and Tyres,14,6,1,false
32348,Technic Beam 1 x 7 Bent (4 - 4) Thick,Technic Beams,1,7,1,false
3738,Technic Plate 2 x 8 [7 Holes],Plates Special,2,8,1,true
2639,Plate 4 x 4 Corner,Plates,4,4,1,true
78256,Plate Special 1 x 2 with Clip Vertical on End,Plates Special,1,2,1,true
30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,Bricks Special,2,2,1,true
90194,Wedge Plate 3 x 4 with Stud Notches [Reinforced Underside],Plates Angled,3,4,1,false
78666,Brick Curved 2 x 1 with Inverted Cutout,Bricks Curved,2,1,1,true
22889,Slope Inverted 45° 6 x 2 Double with 2 x 4 Recessed,Bricks Sloped,6,2,1,true
33243,Brick Curved 1 x 3 x 2,Bricks Curved,1,3,2,true
30176,"Plant, Round 1 x 1 - 3 Bamboo Leaves",Plants & Trees,1,1,1,true
6191,"Brick Curved 1 x 4 x 1 1/3 No Studs, Lowered Inside Support",Bricks Curved,1,4,1,true
90258,Brick Special 2 x 2 with Grooves and Axle Hole,Bricks Special,2,2,1,true
6629,Technic Beam 1 x 9 Bent (6 - 4) Thick,Technic Beams,1,9,1,false
6060,Brick Arch 1 x 6 x 3 1/3 Curved Top,Bricks Curved,1,6,3,true
3006,Brick 2 x 10,Bricks,2,10,1,true
47397,Wedge Plate 12 x 3 Left,Plates Angled,12,3,1,false
64782,Technic Panel 5 x 11 x 1,Technic Panels,5,11,1,false
85975,Cone 1.17 x 1.17 x 2/3 (Fez),Bricks Round and Cones,17,1,1,true
30028,Tyre 14 x 9 Smooth Small Wide Slick,Wheels and Tyres,14,9,1,false
47398,Wedge Plate 12 x 3 Right,Plates Angled,12,3,1,false
6182,Brick Arch 1 x 4 x 2,Bricks Curved,1,4,2,true
68568,Plate Round Corner 3 x 3 with 2 x 2 Round Cutout,Plates Round Curved and Dishes,3,3,1,true
46212,Brick 1 x 2 x 5 without Side Supports,Bricks,1,2,5,true
11209,Tyre 21 x 9.9,Wheels and Tyres,21,9,1,false
48171,"Technic Brick Special 2 x 2 with Pin Hole, Rotation Joint Ball Half [Vertical Side]",Technic Special,2,2,1,false
30145,Brick 2 x 2 x 3,Bricks,2,2,3,true
92410,Cupboard 2 x 3 x 2 with Hollow Studs,Containers,2,3,2,true
95344,Bucket 1 x 1 x 1 Handle,Containers,1,1,1,true
53923,Hinge Cylinder 1 x 2 Locking with 1 Finger and Axle Hole On Ends [No Side Slots],"Hinges, Arms and Turntables",1,2,1,true
14720,Technic Beam 3 x 5 Thick [90° Offset Centre Beam Holes],Technic Beams Special,3,5,1,false
6157,Plate Special 2 x 2 with Wheels Holder Wide,Plates Special,2,2,1,true
39793,Technic Connector Beam 3 x 3,Technic Beams,3,3,1,false
10884,"Plant, Leaves 6 x 5 Swordleaf with Clip [Thick Open O Clip]",Plants & Trees,6,5,1,true
98282,"Wheel Arch, Mudguard 4 x 2 1/2 x 1",Transportation - Land,4,2,1,true
16577,Brick Arch 1 x 8 x 2 Raised,Bricks Curved,1,8,2,true
28326,"Wheel Arch, Mudguard 3 x 4 with 2 x 2 Plate",Transportation - Land,3,4,1,true
50304,"Wedge Plate 8 x 3, 22° Right",Plates Angled,8,3,1,false
3960,Dish 4 x 4 Inverted [Radar],Plates Round Curved and Dishes,4,4,1,true
2462,Wedge 3 x 3 Facet,Bricks Wedged,3,3,1,true
98834,Spoiler 2 x 4 with Handle [Plain],Transportation - Land,2,4,1,true
42022,Brick Curved 6 x 1,Bricks Curved,6,1,1,true
74967,"Wheel 8 x 9 with Hole Notched for Wheels Holder Pin, Re-inforced Back",Wheels and Tyres,8,9,1,false
30157,Plate Special 2 x 4 with Pins,Plates Special,2,4,1,true
15400,"Launcher, Brick Special 1 x 4 Spring Shooter with Light Bluish Gray Top",Projectiles / Launchers,1,4,1,false
91501,Panel 2 x 2 x 1 Corner,Panels,2,2,1,true
4346,Box 2 x 2 x 2 Door with Slot,Containers,2,2,2,true
42023,Brick Curved 6 x 1 Inverted,Bricks Curved,6,1,1,true
91405,Plate 16 x 16,Plates,16,16,1,true
